QTD,ARTISTA_REC,PLATAFORMA
12,Eli Soares,SPOTIFY
8,Palavrantiga,SPOTIFY
8,Ministério Zoe,SPOTIFY
6,MORADA,SPOTIFY
6,Os Arrais,SPOTIFY
5,Deise Jacinto,SPOTIFY
5,Julio Cesar,SPOTIFY
5,PG,SPOTIFY
5,Preto no Branco,SPOTIFY
4,Jéssica Augusto,SPOTIFY
